KL_min,KL_median,KL_max,KS_min,KS_median,KS_max,Wasserstein_min,Wasserstein_median,Wasserstein_max,imputation_method,missing_percentage
,,,0.0,1.0,1.0,0.0,2.2985086056692694e-17,1.249000902703301e-16,Mean,0.25
1.8803128633544146,2.2769384427021135,2.8332133397590584,0.508695652173913,0.5414944903581267,0.5646551724137931,0.171106018674558,0.21633047810614398,0.33515263471752654,MissForest,0.25
1.8958997284256391,2.1822312856243413,2.55389952124422,0.5,0.5200320512820513,0.5421245421245421,0.000852897970041454,0.0022998519025921272,0.04303065699641815,MICE,0.25
2.8013381243342814,3.3513383548185978,4.073291139462311,0.5077519379844961,0.5562968515742128,0.6007326007326007,1.3285972479775798,1.4815841141077382,1.689707892830146,GAIN,0.25
1.7670668564701628,2.392410756988556,3.111493063712774,0.5115384615384615,0.7247764490411549,0.8830645161290323,0.004761507082100515,0.007464957301142929,0.011545884774414449,MIWAE,0.25
,,,1.0,1.0,1.0,3.469446951953614e-18,2.0816681711721685e-17,9.71445146547012e-17,Mean,0.5
2.057374440969177,2.669493198672117,3.0056825968042826,0.5010141987829615,0.53732782369146,0.6490872210953347,0.33331286728007037,0.45718148626169675,0.5813876315567132,MissForest,0.5
0.0689928607078941,1.6912801182258987,2.2452004049235805,0.5009041591320073,0.5146273886647924,0.5672514619883041,0.154754868447111,0.391385295873509,0.4880056283648183,MICE,0.5
2.7995652987330533,3.3900444913594585,3.731154925652514,0.5009746588693957,0.535373872563282,0.6041666666666666,1.291659440807896,1.442993495350525,1.712164992101823,GAIN,0.5
1.9438376092931053,2.1835718518622134,3.4924589728538424,0.509469696969697,0.7041841693435467,0.9452332657200812,0.003369323377948908,0.006715314622163409,0.010762732634004311,MIWAE,0.5
