Sliced_KL,Sliced_KS,Sliced_Wasserstein,Distance_ratio_mean,Distance_ratio_median,Distance_ratio_std,imputation_method,missing_percentage
0.0,0.02,9.298117831235687e-18,0.9999999986430614,0.999999998729417,3.876096050018233e-10,Mean,0.25
2.1879579097555433,0.1,0.0032182812728548723,1.037750023263291,1.0248372283029774,0.12512026532217427,MissForest,0.25
0.018645353727634994,0.04,0.00024493526692634577,1.000571661927896,0.9998991267002613,0.004889849838725057,MICE,0.25
25.560030313518062,1.0,0.2633171858891868,4.6456852367989345,4.656605655177714,1.4479978250192524,GAIN,0.25
0.5051754694217654,0.04,0.00047819456660787025,0.9991057117824108,0.9987605319597824,0.008954290733824774,MIWAE,0.25
0.0,0.02,9.298117831235683e-18,0.999999998639818,0.9999999986812133,3.374319610444563e-10,Mean,0.5
3.748606600236895,0.74,0.09480044624240998,2.296619947094635,2.1048881408642464,1.1359138023434057,MissForest,0.5
5.087682602298341,0.74,0.06740440510286907,1.9418500052053358,1.9266423614059267,0.7346446727537046,MICE,0.5
25.555274879441846,1.0,0.6712150816076826,10.21890386643535,9.848795680652977,2.8589096872318835,GAIN,0.5
0.6134980488478774,0.06,0.0009320803314290691,1.0028114241115602,0.9988119921468632,0.026433482540493988,MIWAE,0.5
