imputation,classifier,test_auc,test_f1,imputation_time
Mean,Logistic,0.7368024420770583,0.2794871794871795,0.017493009567260742
Mean,RandomForest,0.7646122115604966,0.05801526717557252,0.017493009567260742
Mean,XGBoost,0.8978765995036715,0.5398907103825137,0.017493009567260742
Mean,NGBoost,0.8516298141804214,0.5708418891170431,0.017493009567260742
Mean,NeuralNet,0.7260424562578713,0.3175,0.017493009567260742
MICE,Logistic,0.7448011846071582,0.2947903430749682,0.49947023391723633
MICE,RandomForest,0.7673083288773458,0.10995542347696881,0.49947023391723633
MICE,XGBoost,0.9023149589951209,0.551422319474836,0.49947023391723633
MICE,NGBoost,0.8340737128071938,0.5748265609514371,0.49947023391723633
MICE,NeuralNet,0.7332258999625892,0.371824480369515,0.49947023391723633
MissForest,Logistic,0.7529517245161581,0.32305795314426633,632.0598075389862
MissForest,RandomForest,0.7654500351582316,0.150506512301013,632.0598075389862
MissForest,XGBoost,0.8854938507371476,0.5186813186813186,632.0598075389862
MissForest,NGBoost,0.8403483309143686,0.6032977691561591,632.0598075389862
MissForest,NeuralNet,0.740472021294724,0.2969543147208122,632.0598075389862
GAIN,Logistic,0.7078556612587625,0.25098039215686274,7.029847860336304
GAIN,RandomForest,0.732830247439521,0.006269592476489028,7.029847860336304
GAIN,XGBoost,0.8137921139792653,0.41371428571428576,7.029847860336304
GAIN,NGBoost,0.7282586979898109,0.37593984962406013,7.029847860336304
GAIN,NeuralNet,0.6994005472540344,0.225201072386059,7.029847860336304
MIWAE,Logistic,0.7473244487796471,0.3147459727385378,12.192177772521973
MIWAE,RandomForest,0.7619802408779568,0.09281437125748503,12.192177772521973
MIWAE,XGBoost,0.8824314610350819,0.4899777282850779,12.192177772521973
MIWAE,NGBoost,0.8322869107568519,0.5971830985915493,12.192177772521973
MIWAE,NeuralNet,0.7308544331690005,0.3188044831880449,12.192177772521973
